date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country,recorddate
20140502T000000,12.6539584695,3,1.5,7.20042489294,8.9761358733,1.5,0,0,3.0,7.20042489294,0.0,1955,,18810 Densmore Ave N,Shoreline,WA 98133,USA,
20140502T000000,14.6842903072,5,2.5,8.20248244658,9.11052003669,2.0,0,4,5.0,8.12266802335,5.63478960317,1921,,709 W Blaine St,Seattle,WA 98119,USA,
20140502T000000,12.742566016,3,2.0,7.5652752819,9.38823547982,1.0,0,0,4.0,7.5652752819,0.0,1966,,26206-26214 143rd Ave SE,Kent,WA 98042,USA,
20140502T000000,12.9480099903,3,2.25,7.60090245954,8.99093980694,1.0,0,0,4.0,6.90775527898,6.90775527898,1963,,857 170th Pl NE,Bellevue,WA 98008,USA,
20140502T000000,13.2176735572,4,2.5,7.57044325206,9.25913053615,1.0,0,0,4.0,7.03878354139,6.68461172767,1976,,9105 170th Ave NE,Redmond,WA 98052,USA,
20140502T000000,13.1021606701,2,1.0,6.77992190747,8.76092337634,1.0,0,0,3.0,6.77992190747,0.0,1938,1994.0,522 NE 88th St,Seattle,WA 98115,USA,
20140502T000000,12.7218858108,2,2.0,7.20785987143,7.84776253747,1.0,0,0,3.0,7.20785987143,0.0,1976,,2616 174th Ave NE,Redmond,WA 98052,USA,
20140502T000000,13.085699393,4,2.5,7.90470391387,10.4876008121,2.0,0,0,3.0,7.90470391387,0.0,1989,,23762 SE 253rd Pl,Maple Valley,WA 98038,USA,
20140502T000000,13.0225430421,3,2.5,7.79564653633,11.389921323,1.0,0,0,4.0,7.35883089834,6.75693238925,1985,,46611-46625 SE 129th St,North Bend,WA 98045,USA,
20140502T000000,13.3692234553,4,2.0,7.32646561384,8.73230457103,1.5,0,0,3.0,7.32646561384,0.0,1945,,6811 55th Ave NE,Seattle,WA 98115,USA,
20140502T000000,13.0454823331,3,1.75,7.4442486495,8.89836560696,1.0,0,0,3.0,7.4442486495,0.0,1948,,Burke-Gilman Trail,Lake Forest Park,WA 98155,USA,
20140502T000000,14.1519827946,4,2.5,7.97933889526,8.2940496401,1.5,0,0,5.0,7.55485852104,6.91770560984,1909,,3838-4098 44th Ave NE,Seattle,WA 98105,USA,
20140502T000000,13.2853322057,3,1.75,7.75362354656,9.60857943499,1.0,0,0,3.0,7.58578882173,5.88610403145,1980,,1833 220th Pl NE,Sammamish,WA 98074,USA,
20140502T000000,12.8076526326,3,1.0,6.99393297522,8.76950712003,1.0,0,0,4.0,6.99393297522,0.0,1955,,2504 SW Portland Ct,Seattle,WA 98106,USA,
20140502T000000,13.9978321148,5,2.75,7.97590836017,9.15693959525,1.5,0,0,3.0,7.97590836017,0.0,1939,,3534 46th Ave NE,Seattle,WA 98105,USA,
20140502T000000,12.3987569894,3,1.5,7.09007683578,9.18194089745,1.0,0,0,4.0,7.09007683578,0.0,1965,,14034 SE 201st St,Kent,WA 98042,USA,
20140502T000000,12.9456261989,3,1.5,7.35883089834,8.80986280538,1.0,0,0,4.0,7.35883089834,0.0,1956,,15424 SE 9th St,Bellevue,WA 98007,USA,
20140502T000000,12.5602444593,4,2.5,7.69621263935,9.14814576838,2.0,0,0,3.0,7.69621263935,0.0,1987,,5214 S 292nd St,Auburn,WA 98001,USA,
20140502T000000,12.8144785976,4,3.0,8.04237800517,8.88613261817,2.0,0,0,3.0,8.04237800517,0.0,1997,,11224 SE 306th Pl,Auburn,WA 98092,USA,
20140502T000000,12.4605210467,3,1.75,7.22256601882,8.67556352739,1.0,0,0,3.0,7.22256601882,0.0,1987,,1605 S 245th Pl,Des Moines,WA 98198,USA,
20140502T000000,12.5245263766,3,1.5,7.07326971746,9.23766366763,1.0,0,0,3.0,7.07326971746,0.0,1983,,12425 415th Ave SE,North Bend,WA 98045,USA,
20140502T000000,13.5278284855,3,1.75,7.71423114485,9.26653165163,2.0,0,0,5.0,7.34601020991,6.53669159759,1923,,3225 NE 92nd St,Seattle,WA 98115,USA,
20140502T000000,12.9831013101,4,1.0,7.27931883541,9.08250700047,1.0,0,0,4.0,7.27931883541,0.0,1954,,3922 154th Ave SE,Bellevue,WA 98006,USA,
20140502T000000,13.3471056501,3,2.25,7.46737106692,7.36010397299,2.5,0,0,3.0,7.29301767977,5.63478960317,2005,,3140 Franklin Ave E,Seattle,WA 98102,USA,
20140502T000000,13.3253042214,4,2.5,7.91205688818,9.41417877223,2.0,0,0,3.0,7.91205688818,0.0,1991,,10212 NE 156th Pl,Bothell,WA 98011,USA,
20140502T000000,13.1123130416,4,1.75,7.37775890823,8.76092337634,1.0,0,0,3.0,7.02997291171,6.1527326947,1959,,2021 NE 100th St,Seattle,WA 98125,USA,
20140502T000000,12.5602444593,3,2.5,7.64491934496,9.29044461622,1.0,0,0,4.0,7.21523997873,6.59304453414,1987,,27736 23rd Avenue South,Federal Way,WA 98003,USA,
20140502T000000,13.3293775468,3,1.75,7.76641689802,8.89439598981,1.0,0,0,4.0,7.21523997873,6.90775527898,1948,,8436-8438 41st Ave SW,Seattle,WA 98136,USA,
20140502T000000,13.4559743817,4,2.25,7.69621263935,9.32812340763,1.5,0,0,5.0,7.17011954345,6.80239476332,1920,,1036 4th St,Kirkland,WA 98033,USA,
20140502T000000,13.4224679699,5,2.5,7.94449216393,11.120149508,2.0,0,0,3.0,7.94449216393,0.0,1979,,23525 SE 32nd Way,Issaquah,WA 98029,USA,
20140502T000000,13.5797882244,3,2.5,7.86326672401,8.46589989703,1.0,0,0,4.0,7.43838353004,6.80239476332,1951,,3314 NW 75th St,Seattle,WA 98117,USA,
